ProductID,ProductCategory,ProductBrand,ProductName,ProductPrice,MinDiscount,MaxDiscount,Rating,Features,StockAvailability,WarrantyPeriod,Color,Description
SMA-SAM-1,Smartphone,Samsung,Samsung Smartphone Model-109,11392,17,40,4.6,"Fast Charging, Water Resistant, AMOLED Display",In Stock,3 Years,Silver,"Category: Smartphone, Brand: Samsung, Name: Samsung Smartphone Model-109, Price: ₹11392, Discount Range: 17% - 40%, Rating: 4.6, Features: Fast Charging, Water Resistant, AMOLED Display, Warranty: 3 Years Years, Color: Silver"
LAP-LEN-3,Laptop,Lenovo,Lenovo Laptop Model-922,81259,10,44,4.9,"Touchscreen, Backlit Keyboard, Lightweight",In Stock,2 Years,White,"Category: Laptop, Brand: Lenovo, Name: Lenovo Laptop Model-922, Price: ₹81259, Discount Range: 10% - 44%, Rating: 4.9, Features: Touchscreen, Backlit Keyboard, Lightweight, Warranty: 2 Years Years, Color: White"
LAP-LEN-4,Laptop,Lenovo,Lenovo Laptop Model-330,140799,12,42,5.0,"SSD Storage, Lightweight, High-Performance GPU",In Stock,2 Years,Silver,"Category: Laptop, Brand: Lenovo, Name: Lenovo Laptop Model-330, Price: ₹140799, Discount Range: 12% - 42%, Rating: 5.0, Features: SSD Storage, Lightweight, High-Performance GPU, Warranty: 2 Years Years, Color: Silver"
TAB-LEN-7,Tablet,Lenovo,Lenovo Tablet Model-340,32731,16,36,3.4,"Detachable Keyboard, 10-inch Display, Stylus Support",Out of Stock,3 Years,Blue,"Category: Tablet, Brand: Lenovo, Name: Lenovo Tablet Model-340, Price: ₹32731, Discount Range: 16% - 36%, Rating: 3.4, Features: Detachable Keyboard, 10-inch Display, Stylus Support, Warranty: 3 Years Years, Color: Blue"
TAB-HUA-8,Tablet,Huawei,Huawei Tablet Model-198,115349,20,29,3.9,"Long Battery Life, 10-inch Display, Quad Speakers",In Stock,3 Years,Red,"Category: Tablet, Brand: Huawei, Name: Huawei Tablet Model-198, Price: ₹115349, Discount Range: 20% - 29%, Rating: 3.9, Features: Long Battery Life, 10-inch Display, Quad Speakers, Warranty: 3 Years Years, Color: Red"
SMA-VIV-6,Smartphone,Vivo,Vivo Smartphone Model-791,125941,14,48,4.6,"Water Resistant, 5G, AMOLED Display",In Stock,2 Years,Red,"Category: Smartphone, Brand: Vivo, Name: Vivo Smartphone Model-791, Price: ₹125941, Discount Range: 14% - 48%, Rating: 4.6, Features: Water Resistant, 5G, AMOLED Display, Warranty: 2 Years Years, Color: Red"
HEA-SON-5,Headphones,Sony,Sony Headphones Model-814,72885,19,48,4.2,"Foldable, Bass Boost, Noise Cancellation",In Stock,3 Years,Blue,"Category: Headphones, Brand: Sony, Name: Sony Headphones Model-814, Price: ₹72885, Discount Range: 19% - 48%, Rating: 4.2, Features: Foldable, Bass Boost, Noise Cancellation, Warranty: 3 Years Years, Color: Blue"
SMA-GAR-10,Smartwatch,Garmin,Garmin Smartwatch Model-484,145114,8,47,3.7,"GPS, Customizable Watch Faces, Heart Rate Monitor",In Stock,1 Year,Red,"Category: Smartwatch, Brand: Garmin, Name: Garmin Smartwatch Model-484, Price: ₹145114, Discount Range: 8% - 47%, Rating: 3.7, Features: GPS, Customizable Watch Faces, Heart Rate Monitor, Warranty: 1 Year Years, Color: Red"
SMA-REA-2,Smartphone,Realme,Realme Smartphone Model-611,127808,18,26,4.2,"Water Resistant, 5G, AMOLED Display",Out of Stock,1 Year,Blue,"Category: Smartphone, Brand: Realme, Name: Realme Smartphone Model-611, Price: ₹127808, Discount Range: 18% - 26%, Rating: 4.2, Features: Water Resistant, 5G, AMOLED Display, Warranty: 1 Year Years, Color: Blue"
SMA-FIT-1,Smartwatch,Fitbit,Fitbit Smartwatch Model-159,143090,8,36,3.3,"Heart Rate Monitor, GPS, Fitness Tracking",In Stock,1 Year,White,"Category: Smartwatch, Brand: Fitbit, Name: Fitbit Smartwatch Model-159, Price: ₹143090, Discount Range: 8% - 36%, Rating: 3.3, Features: Heart Rate Monitor, GPS, Fitness Tracking, Warranty: 1 Year Years, Color: White"
LAP-APP-8,Laptop,Apple,Apple Laptop Model-208,61054,7,31,4.8,"Touchscreen, High-Performance GPU, Lightweight",In Stock,1 Year,Red,"Category: Laptop, Brand: Apple, Name: Apple Laptop Model-208, Price: ₹61054, Discount Range: 7% - 31%, Rating: 4.8, Features: Touchscreen, High-Performance GPU, Lightweight, Warranty: 1 Year Years, Color: Red"
HEA-BEA-5,Headphones,Beats,Beats Headphones Model-304,57155,14,47,3.8,"Waterproof, Bass Boost, Noise Cancellation",Out of Stock,1 Year,White,"Category: Headphones, Brand: Beats, Name: Beats Headphones Model-304, Price: ₹57155, Discount Range: 14% - 47%, Rating: 3.8, Features: Waterproof, Bass Boost, Noise Cancellation, Warranty: 1 Year Years, Color: White"
SMA-AMA-4,Smartwatch,Amazfit,Amazfit Smartwatch Model-542,19138,20,45,3.9,"Waterproof, GPS, Fitness Tracking",In Stock,2 Years,Red,"Category: Smartwatch, Brand: Amazfit, Name: Amazfit Smartwatch Model-542, Price: ₹19138, Discount Range: 20% - 45%, Rating: 3.9, Features: Waterproof, GPS, Fitness Tracking, Warranty: 2 Years Years, Color: Red"
SMA-FIT-12,Smartwatch,Fitbit,Fitbit Smartwatch Model-481,108761,18,26,3.0,"GPS, Heart Rate Monitor, Waterproof",Out of Stock,3 Years,Silver,"Category: Smartwatch, Brand: Fitbit, Name: Fitbit Smartwatch Model-481, Price: ₹108761, Discount Range: 18% - 26%, Rating: 3.0, Features: GPS, Heart Rate Monitor, Waterproof, Warranty: 3 Years Years, Color: Silver"
HEA-SON-10,Headphones,Sony,Sony Headphones Model-314,138417,9,31,4.0,"Foldable, Waterproof, Wireless",Out of Stock,3 Years,White,"Category: Headphones, Brand: Sony, Name: Sony Headphones Model-314, Price: ₹138417, Discount Range: 9% - 31%, Rating: 4.0, Features: Foldable, Waterproof, Wireless, Warranty: 3 Years Years, Color: White"
LAP-APP-13,Laptop,Apple,Apple Laptop Model-280,41621,11,43,3.9,"Touchscreen, Lightweight, High-Performance GPU",Out of Stock,2 Years,Red,"Category: Laptop, Brand: Apple, Name: Apple Laptop Model-280, Price: ₹41621, Discount Range: 11% - 43%, Rating: 3.9, Features: Touchscreen, Lightweight, High-Performance GPU, Warranty: 2 Years Years, Color: Red"
SMA-APP-4,Smartphone,Apple,Apple Smartphone Model-169,82862,17,39,4.9,"Dual SIM, AMOLED Display, 5G",In Stock,2 Years,Red,"Category: Smartphone, Brand: Apple, Name: Apple Smartphone Model-169, Price: ₹82862, Discount Range: 17% - 39%, Rating: 4.9, Features: Dual SIM, AMOLED Display, 5G, Warranty: 2 Years Years, Color: Red"
HEA-BOA-11,Headphones,Boat,Boat Headphones Model-828,42057,10,33,3.4,"Bass Boost, Foldable, Noise Cancellation",In Stock,1 Year,Red,"Category: Headphones, Brand: Boat, Name: Boat Headphones Model-828, Price: ₹42057, Discount Range: 10% - 33%, Rating: 3.4, Features: Bass Boost, Foldable, Noise Cancellation, Warranty: 1 Year Years, Color: Red"
SMA-OPP-3,Smartphone,Oppo,Oppo Smartphone Model-565,38045,11,43,4.5,"Fast Charging, AMOLED Display, 5G",In Stock,2 Years,Silver,"Category: Smartphone, Brand: Oppo, Name: Oppo Smartphone Model-565, Price: ₹38045, Discount Range: 11% - 43%, Rating: 4.5, Features: Fast Charging, AMOLED Display, 5G, Warranty: 2 Years Years, Color: Silver"
CAM-PAN-1,Camera,Panasonic,Panasonic Camera Model-392,119293,13,47,3.4,"Image Stabilization, High ISO Sensitivity, WiFi Connectivity",In Stock,3 Years,Silver,"Category: Camera, Brand: Panasonic, Name: Panasonic Camera Model-392, Price: ₹119293, Discount Range: 13% - 47%, Rating: 3.4, Features: Image Stabilization, High ISO Sensitivity, WiFi Connectivity, Warranty: 3 Years Years, Color: Silver"
HEA-SON-11,Headphones,Sony,Sony Headphones Model-348,63248,6,35,3.5,"Bass Boost, Foldable, Noise Cancellation",In Stock,3 Years,Silver,"Category: Headphones, Brand: Sony, Name: Sony Headphones Model-348, Price: ₹63248, Discount Range: 6% - 35%, Rating: 3.5, Features: Bass Boost, Foldable, Noise Cancellation, Warranty: 3 Years Years, Color: Silver"
LAP-DEL-8,Laptop,Dell,Dell Laptop Model-725,57671,11,29,3.3,"Touchscreen, Backlit Keyboard, Lightweight",In Stock,1 Year,White,"Category: Laptop, Brand: Dell, Name: Dell Laptop Model-725, Price: ₹57671, Discount Range: 11% - 29%, Rating: 3.3, Features: Touchscreen, Backlit Keyboard, Lightweight, Warranty: 1 Year Years, Color: White"
CAM-CAN-10,Camera,Canon,Canon Camera Model-231,92448,13,34,3.5,"WiFi Connectivity, Touchscreen, High ISO Sensitivity",In Stock,1 Year,Blue,"Category: Camera, Brand: Canon, Name: Canon Camera Model-231, Price: ₹92448, Discount Range: 13% - 34%, Rating: 3.5, Features: WiFi Connectivity, Touchscreen, High ISO Sensitivity, Warranty: 1 Year Years, Color: Blue"
CAM-OLY-5,Camera,Olympus,Olympus Camera Model-379,39059,5,25,3.5,"WiFi Connectivity, Image Stabilization, High ISO Sensitivity",In Stock,2 Years,Black,"Category: Camera, Brand: Olympus, Name: Olympus Camera Model-379, Price: ₹39059, Discount Range: 5% - 25%, Rating: 3.5, Features: WiFi Connectivity, Image Stabilization, High ISO Sensitivity, Warranty: 2 Years Years, Color: Black"
SMA-OPP-10,Smartphone,Oppo,Oppo Smartphone Model-825,59975,17,33,4.1,"AMOLED Display, Water Resistant, Dual SIM",In Stock,1 Year,White,"Category: Smartphone, Brand: Oppo, Name: Oppo Smartphone Model-825, Price: ₹59975, Discount Range: 17% - 33%, Rating: 4.1, Features: AMOLED Display, Water Resistant, Dual SIM, Warranty: 1 Year Years, Color: White"
LAP-DEL-12,Laptop,Dell,Dell Laptop Model-782,123042,7,37,3.7,"SSD Storage, Lightweight, Touchscreen",In Stock,2 Years,Blue,"Category: Laptop, Brand: Dell, Name: Dell Laptop Model-782, Price: ₹123042, Discount Range: 7% - 37%, Rating: 3.7, Features: SSD Storage, Lightweight, Touchscreen, Warranty: 2 Years Years, Color: Blue"
CAM-OLY-2,Camera,Olympus,Olympus Camera Model-356,88222,9,22,4.1,"4K Video, High ISO Sensitivity, WiFi Connectivity",Out of Stock,2 Years,White,"Category: Camera, Brand: Olympus, Name: Olympus Camera Model-356, Price: ₹88222, Discount Range: 9% - 22%, Rating: 4.1, Features: 4K Video, High ISO Sensitivity, WiFi Connectivity, Warranty: 2 Years Years, Color: White"
SMA-FIT-13,Smartwatch,Fitbit,Fitbit Smartwatch Model-844,147926,18,27,4.4,"Customizable Watch Faces, Heart Rate Monitor, Fitness Tracking",In Stock,3 Years,Black,"Category: Smartwatch, Brand: Fitbit, Name: Fitbit Smartwatch Model-844, Price: ₹147926, Discount Range: 18% - 27%, Rating: 4.4, Features: Customizable Watch Faces, Heart Rate Monitor, Fitness Tracking, Warranty: 3 Years Years, Color: Black"
LAP-MSI-13,Laptop,MSI,MSI Laptop Model-497,138415,17,21,3.3,"High-Performance GPU, Lightweight, Touchscreen",Out of Stock,2 Years,Black,"Category: Laptop, Brand: MSI, Name: MSI Laptop Model-497, Price: ₹138415, Discount Range: 17% - 21%, Rating: 3.3, Features: High-Performance GPU, Lightweight, Touchscreen, Warranty: 2 Years Years, Color: Black"
SMA-HUA-1,Smartwatch,Huawei,Huawei Smartwatch Model-610,24098,8,45,4.7,"Heart Rate Monitor, Waterproof, GPS",In Stock,1 Year,Blue,"Category: Smartwatch, Brand: Huawei, Name: Huawei Smartwatch Model-610, Price: ₹24098, Discount Range: 8% - 45%, Rating: 4.7, Features: Heart Rate Monitor, Waterproof, GPS, Warranty: 1 Year Years, Color: Blue"
HEA-JBL-8,Headphones,JBL,JBL Headphones Model-727,74845,19,50,4.2,"Foldable, Waterproof, Noise Cancellation",In Stock,3 Years,Black,"Category: Headphones, Brand: JBL, Name: JBL Headphones Model-727, Price: ₹74845, Discount Range: 19% - 50%, Rating: 4.2, Features: Foldable, Waterproof, Noise Cancellation, Warranty: 3 Years Years, Color: Black"
CAM-SON-11,Camera,Sony,Sony Camera Model-788,80285,17,25,3.8,"Image Stabilization, 4K Video, High ISO Sensitivity",Out of Stock,3 Years,Red,"Category: Camera, Brand: Sony, Name: Sony Camera Model-788, Price: ₹80285, Discount Range: 17% - 25%, Rating: 3.8, Features: Image Stabilization, 4K Video, High ISO Sensitivity, Warranty: 3 Years Years, Color: Red"
SMA-SAM-7,Smartphone,Samsung,Samsung Smartphone Model-756,8491,12,32,3.5,"AMOLED Display, 5G, Fast Charging",In Stock,2 Years,White,"Category: Smartphone, Brand: Samsung, Name: Samsung Smartphone Model-756, Price: ₹8491, Discount Range: 12% - 32%, Rating: 3.5, Features: AMOLED Display, 5G, Fast Charging, Warranty: 2 Years Years, Color: White"
TAB-HUA-1,Tablet,Huawei,Huawei Tablet Model-269,10856,14,48,3.0,"Long Battery Life, Detachable Keyboard, Quad Speakers",Out of Stock,3 Years,Red,"Category: Tablet, Brand: Huawei, Name: Huawei Tablet Model-269, Price: ₹10856, Discount Range: 14% - 48%, Rating: 3.0, Features: Long Battery Life, Detachable Keyboard, Quad Speakers, Warranty: 3 Years Years, Color: Red"
LAP-DEL-11,Laptop,Dell,Dell Laptop Model-250,113346,18,42,4.2,"SSD Storage, High-Performance GPU, Backlit Keyboard",In Stock,3 Years,White,"Category: Laptop, Brand: Dell, Name: Dell Laptop Model-250, Price: ₹113346, Discount Range: 18% - 42%, Rating: 4.2, Features: SSD Storage, High-Performance GPU, Backlit Keyboard, Warranty: 3 Years Years, Color: White"
HEA-SKU-1,Headphones,Skullcandy,Skullcandy Headphones Model-601,20164,16,20,4.3,"Bass Boost, Noise Cancellation, Waterproof",In Stock,1 Year,Blue,"Category: Headphones, Brand: Skullcandy, Name: Skullcandy Headphones Model-601, Price: ₹20164, Discount Range: 16% - 20%, Rating: 4.3, Features: Bass Boost, Noise Cancellation, Waterproof, Warranty: 1 Year Years, Color: Blue"
SMA-FOS-5,Smartwatch,Fossil,Fossil Smartwatch Model-387,97704,8,26,3.5,"GPS, Waterproof, Heart Rate Monitor",Out of Stock,3 Years,Black,"Category: Smartwatch, Brand: Fossil, Name: Fossil Smartwatch Model-387, Price: ₹97704, Discount Range: 8% - 26%, Rating: 3.5, Features: GPS, Waterproof, Heart Rate Monitor, Warranty: 3 Years Years, Color: Black"
LAP-MIC-4,Laptop,Microsoft,Microsoft Laptop Model-286,96083,13,23,3.9,"High-Performance GPU, Lightweight, Backlit Keyboard",Out of Stock,2 Years,Blue,"Category: Laptop, Brand: Microsoft, Name: Microsoft Laptop Model-286, Price: ₹96083, Discount Range: 13% - 23%, Rating: 3.9, Features: High-Performance GPU, Lightweight, Backlit Keyboard, Warranty: 2 Years Years, Color: Blue"
CAM-CAN-4,Camera,Canon,Canon Camera Model-213,95514,8,31,4.4,"Image Stabilization, High ISO Sensitivity, 4K Video",In Stock,3 Years,Black,"Category: Camera, Brand: Canon, Name: Canon Camera Model-213, Price: ₹95514, Discount Range: 8% - 31%, Rating: 4.4, Features: Image Stabilization, High ISO Sensitivity, 4K Video, Warranty: 3 Years Years, Color: Black"
LAP-MSI-3,Laptop,MSI,MSI Laptop Model-298,8258,16,45,4.3,"Touchscreen, Backlit Keyboard, High-Performance GPU",Out of Stock,2 Years,Blue,"Category: Laptop, Brand: MSI, Name: MSI Laptop Model-298, Price: ₹8258, Discount Range: 16% - 45%, Rating: 4.3, Features: Touchscreen, Backlit Keyboard, High-Performance GPU, Warranty: 2 Years Years, Color: Blue"
CAM-PAN-3,Camera,Panasonic,Panasonic Camera Model-997,141804,9,31,4.9,"Image Stabilization, WiFi Connectivity, Touchscreen",In Stock,2 Years,Red,"Category: Camera, Brand: Panasonic, Name: Panasonic Camera Model-997, Price: ₹141804, Discount Range: 9% - 31%, Rating: 4.9, Features: Image Stabilization, WiFi Connectivity, Touchscreen, Warranty: 2 Years Years, Color: Red"
TAB-GOO-3,Tablet,Google,Google Tablet Model-192,80427,18,27,3.8,"Stylus Support, Long Battery Life, Detachable Keyboard",Out of Stock,2 Years,White,"Category: Tablet, Brand: Google, Name: Google Tablet Model-192, Price: ₹80427, Discount Range: 18% - 27%, Rating: 3.8, Features: Stylus Support, Long Battery Life, Detachable Keyboard, Warranty: 2 Years Years, Color: White"
CAM-PAN-6,Camera,Panasonic,Panasonic Camera Model-153,23739,11,35,4.1,"Touchscreen, High ISO Sensitivity, WiFi Connectivity",Out of Stock,3 Years,Silver,"Category: Camera, Brand: Panasonic, Name: Panasonic Camera Model-153, Price: ₹23739, Discount Range: 11% - 35%, Rating: 4.1, Features: Touchscreen, High ISO Sensitivity, WiFi Connectivity, Warranty: 3 Years Years, Color: Silver"
TAB-AMA-5,Tablet,Amazon,Amazon Tablet Model-804,24618,8,32,4.0,"Quad Speakers, Stylus Support, Long Battery Life",In Stock,3 Years,Blue,"Category: Tablet, Brand: Amazon, Name: Amazon Tablet Model-804, Price: ₹24618, Discount Range: 8% - 32%, Rating: 4.0, Features: Quad Speakers, Stylus Support, Long Battery Life, Warranty: 3 Years Years, Color: Blue"
CAM-CAN-8,Camera,Canon,Canon Camera Model-131,45584,9,21,4.6,"WiFi Connectivity, 4K Video, High ISO Sensitivity",In Stock,1 Year,White,"Category: Camera, Brand: Canon, Name: Canon Camera Model-131, Price: ₹45584, Discount Range: 9% - 21%, Rating: 4.6, Features: WiFi Connectivity, 4K Video, High ISO Sensitivity, Warranty: 1 Year Years, Color: White"
SMA-OPP-9,Smartphone,Oppo,Oppo Smartphone Model-170,89182,10,31,3.7,"Water Resistant, AMOLED Display, Fast Charging",In Stock,2 Years,Red,"Category: Smartphone, Brand: Oppo, Name: Oppo Smartphone Model-170, Price: ₹89182, Discount Range: 10% - 31%, Rating: 3.7, Features: Water Resistant, AMOLED Display, Fast Charging, Warranty: 2 Years Years, Color: Red"
SMA-ONE-8,Smartphone,OnePlus,OnePlus Smartphone Model-393,59098,8,43,3.6,"5G, Water Resistant, AMOLED Display",Out of Stock,1 Year,Silver,"Category: Smartphone, Brand: OnePlus, Name: OnePlus Smartphone Model-393, Price: ₹59098, Discount Range: 8% - 43%, Rating: 3.6, Features: 5G, Water Resistant, AMOLED Display, Warranty: 1 Year Years, Color: Silver"
CAM-GOP-4,Camera,GoPro,GoPro Camera Model-848,85153,15,29,4.4,"Touchscreen, WiFi Connectivity, 4K Video",In Stock,1 Year,Blue,"Category: Camera, Brand: GoPro, Name: GoPro Camera Model-848, Price: ₹85153, Discount Range: 15% - 29%, Rating: 4.4, Features: Touchscreen, WiFi Connectivity, 4K Video, Warranty: 1 Year Years, Color: Blue"
CAM-SON-6,Camera,Sony,Sony Camera Model-622,67332,14,31,4.3,"High ISO Sensitivity, WiFi Connectivity, Image Stabilization",In Stock,3 Years,Silver,"Category: Camera, Brand: Sony, Name: Sony Camera Model-622, Price: ₹67332, Discount Range: 14% - 31%, Rating: 4.3, Features: High ISO Sensitivity, WiFi Connectivity, Image Stabilization, Warranty: 3 Years Years, Color: Silver"
LAP-DEL-3,Laptop,Dell,Dell Laptop Model-594,9799,20,33,4.8,"Touchscreen, High-Performance GPU, Lightweight",In Stock,2 Years,Silver,"Category: Laptop, Brand: Dell, Name: Dell Laptop Model-594, Price: ₹9799, Discount Range: 20% - 33%, Rating: 4.8, Features: Touchscreen, High-Performance GPU, Lightweight, Warranty: 2 Years Years, Color: Silver"
TAB-AMA-7,Tablet,Amazon,Amazon Tablet Model-601,41652,17,22,4.5,"Long Battery Life, 10-inch Display, Stylus Support",In Stock,3 Years,White,"Category: Tablet, Brand: Amazon, Name: Amazon Tablet Model-601, Price: ₹41652, Discount Range: 17% - 22%, Rating: 4.5, Features: Long Battery Life, 10-inch Display, Stylus Support, Warranty: 3 Years Years, Color: White"
HEA-ANK-1,Headphones,Anker,Anker Headphones Model-120,97353,13,44,4.3,"Noise Cancellation, Waterproof, Foldable",Out of Stock,2 Years,Blue,"Category: Headphones, Brand: Anker, Name: Anker Headphones Model-120, Price: ₹97353, Discount Range: 13% - 44%, Rating: 4.3, Features: Noise Cancellation, Waterproof, Foldable, Warranty: 2 Years Years, Color: Blue"
SMA-HUA-2,Smartwatch,Huawei,Huawei Smartwatch Model-828,10100,13,27,3.5,"Fitness Tracking, Waterproof, Customizable Watch Faces",In Stock,3 Years,Black,"Category: Smartwatch, Brand: Huawei, Name: Huawei Smartwatch Model-828, Price: ₹10100, Discount Range: 13% - 27%, Rating: 3.5, Features: Fitness Tracking, Waterproof, Customizable Watch Faces, Warranty: 3 Years Years, Color: Black"
CAM-CAN-3,Camera,Canon,Canon Camera Model-448,19413,15,36,4.7,"High ISO Sensitivity, Touchscreen, 4K Video",Out of Stock,3 Years,Black,"Category: Camera, Brand: Canon, Name: Canon Camera Model-448, Price: ₹19413, Discount Range: 15% - 36%, Rating: 4.7, Features: High ISO Sensitivity, Touchscreen, 4K Video, Warranty: 3 Years Years, Color: Black"
SMA-REA-3,Smartphone,Realme,Realme Smartphone Model-663,120177,10,35,4.3,"AMOLED Display, 5G, Fast Charging",In Stock,2 Years,Red,"Category: Smartphone, Brand: Realme, Name: Realme Smartphone Model-663, Price: ₹120177, Discount Range: 10% - 35%, Rating: 4.3, Features: AMOLED Display, 5G, Fast Charging, Warranty: 2 Years Years, Color: Red"
SMA-APP-7,Smartphone,Apple,Apple Smartphone Model-724,9011,8,29,4.8,"AMOLED Display, Water Resistant, Dual SIM",In Stock,2 Years,Black,"Category: Smartphone, Brand: Apple, Name: Apple Smartphone Model-724, Price: ₹9011, Discount Range: 8% - 29%, Rating: 4.8, Features: AMOLED Display, Water Resistant, Dual SIM, Warranty: 2 Years Years, Color: Black"
CAM-PAN-8,Camera,Panasonic,Panasonic Camera Model-581,119493,16,41,4.2,"Touchscreen, WiFi Connectivity, 4K Video",Out of Stock,1 Year,Red,"Category: Camera, Brand: Panasonic, Name: Panasonic Camera Model-581, Price: ₹119493, Discount Range: 16% - 41%, Rating: 4.2, Features: Touchscreen, WiFi Connectivity, 4K Video, Warranty: 1 Year Years, Color: Red"
SMA-APP-8,Smartphone,Apple,Apple Smartphone Model-308,108295,6,21,3.4,"Water Resistant, Fast Charging, 5G",Out of Stock,3 Years,Black,"Category: Smartphone, Brand: Apple, Name: Apple Smartphone Model-308, Price: ₹108295, Discount Range: 6% - 21%, Rating: 3.4, Features: Water Resistant, Fast Charging, 5G, Warranty: 3 Years Years, Color: Black"
HEA-JBL-6,Headphones,JBL,JBL Headphones Model-991,54509,8,25,4.3,"Bass Boost, Noise Cancellation, Foldable",In Stock,2 Years,Black,"Category: Headphones, Brand: JBL, Name: JBL Headphones Model-991, Price: ₹54509, Discount Range: 8% - 25%, Rating: 4.3, Features: Bass Boost, Noise Cancellation, Foldable, Warranty: 2 Years Years, Color: Black"
HEA-BOS-13,Headphones,Bose,Bose Headphones Model-559,32328,14,29,4.6,"Bass Boost, Wireless, Foldable",Out of Stock,3 Years,Red,"Category: Headphones, Brand: Bose, Name: Bose Headphones Model-559, Price: ₹32328, Discount Range: 14% - 29%, Rating: 4.6, Features: Bass Boost, Wireless, Foldable, Warranty: 3 Years Years, Color: Red"
SMA-HUA-9,Smartwatch,Huawei,Huawei Smartwatch Model-409,62472,19,23,5.0,"GPS, Customizable Watch Faces, Fitness Tracking",Out of Stock,2 Years,Black,"Category: Smartwatch, Brand: Huawei, Name: Huawei Smartwatch Model-409, Price: ₹62472, Discount Range: 19% - 23%, Rating: 5.0, Features: GPS, Customizable Watch Faces, Fitness Tracking, Warranty: 2 Years Years, Color: Black"
