ProductID,ProductCategory,ProductBrand,ProductName,ProductPrice,MinDiscount,MaxDiscount,Rating,Features,StockAvailability,WarrantyPeriod,Color
SMA-VIV-6,Smartphone,Vivo,Vivo Smartphone Model-791,125941,14,48,4.6,"Water Resistant, 5G, AMOLED Display",In Stock,2 Years,Red
HEA-SON-5,Headphones,Sony,Sony Headphones Model-814,72885,19,48,4.2,"Foldable, Bass Boost, Noise Cancellation",In Stock,3 Years,Blue
SMA-GAR-10,Smartwatch,Garmin,Garmin Smartwatch Model-484,145114,8,47,3.7,"GPS, Customizable Watch Faces, Heart Rate Monitor",In Stock,1 Year,Red
SMA-REA-2,Smartphone,Realme,Realme Smartphone Model-611,127808,18,26,4.2,"Water Resistant, 5G, AMOLED Display",Out of Stock,1 Year,Blue
SMA-FIT-1,Smartwatch,Fitbit,Fitbit Smartwatch Model-159,143090,8,36,3.3,"Heart Rate Monitor, GPS, Fitness Tracking",In Stock,1 Year,White
LAP-APP-8,Laptop,Apple,Apple Laptop Model-208,61054,7,31,4.8,"Touchscreen, High-Performance GPU, Lightweight",In Stock,1 Year,Red
HEA-BEA-5,Headphones,Beats,Beats Headphones Model-304,57155,14,47,3.8,"Waterproof, Bass Boost, Noise Cancellation",Out of Stock,1 Year,White
SMA-AMA-4,Smartwatch,Amazfit,Amazfit Smartwatch Model-542,19138,20,45,3.9,"Waterproof, GPS, Fitness Tracking",In Stock,2 Years,Red
SMA-FIT-12,Smartwatch,Fitbit,Fitbit Smartwatch Model-481,108761,18,26,3.0,"GPS, Heart Rate Monitor, Waterproof",Out of Stock,3 Years,Silver
HEA-SON-10,Headphones,Sony,Sony Headphones Model-314,138417,9,31,4.0,"Foldable, Waterproof, Wireless",Out of Stock,3 Years,White
LAP-APP-13,Laptop,Apple,Apple Laptop Model-280,41621,11,43,3.9,"Touchscreen, Lightweight, High-Performance GPU",Out of Stock,2 Years,Red
SMA-APP-4,Smartphone,Apple,Apple Smartphone Model-169,82862,17,39,4.9,"Dual SIM, AMOLED Display, 5G",In Stock,2 Years,Red
HEA-BOA-11,Headphones,Boat,Boat Headphones Model-828,42057,10,33,3.4,"Bass Boost, Foldable, Noise Cancellation",In Stock,1 Year,Red
SMA-OPP-3,Smartphone,Oppo,Oppo Smartphone Model-565,38045,11,43,4.5,"Fast Charging, AMOLED Display, 5G",In Stock,2 Years,Silver
CAM-PAN-1,Camera,Panasonic,Panasonic Camera Model-392,119293,13,47,3.4,"Image Stabilization, High ISO Sensitivity, WiFi Connectivity",In Stock,3 Years,Silver
HEA-SON-11,Headphones,Sony,Sony Headphones Model-348,63248,6,35,3.5,"Bass Boost, Foldable, Noise Cancellation",In Stock,3 Years,Silver
LAP-DEL-8,Laptop,Dell,Dell Laptop Model-725,57671,11,29,3.3,"Touchscreen, Backlit Keyboard, Lightweight",In Stock,1 Year,White
CAM-CAN-10,Camera,Canon,Canon Camera Model-231,92448,13,34,3.5,"WiFi Connectivity, Touchscreen, High ISO Sensitivity",In Stock,1 Year,Blue
CAM-OLY-5,Camera,Olympus,Olympus Camera Model-379,39059,5,25,3.5,"WiFi Connectivity, Image Stabilization, High ISO Sensitivity",In Stock,2 Years,Black
SMA-OPP-10,Smartphone,Oppo,Oppo Smartphone Model-825,59975,17,33,4.1,"AMOLED Display, Water Resistant, Dual SIM",In Stock,1 Year,White
LAP-DEL-12,Laptop,Dell,Dell Laptop Model-782,123042,7,37,3.7,"SSD Storage, Lightweight, Touchscreen",In Stock,2 Years,Blue
CAM-OLY-2,Camera,Olympus,Olympus Camera Model-356,88222,9,22,4.1,"4K Video, High ISO Sensitivity, WiFi Connectivity",Out of Stock,2 Years,White
SMA-FIT-13,Smartwatch,Fitbit,Fitbit Smartwatch Model-844,147926,18,27,4.4,"Customizable Watch Faces, Heart Rate Monitor, Fitness Tracking",In Stock,3 Years,Black
LAP-MSI-13,Laptop,MSI,MSI Laptop Model-497,138415,17,21,3.3,"High-Performance GPU, Lightweight, Touchscreen",Out of Stock,2 Years,Black
SMA-HUA-1,Smartwatch,Huawei,Huawei Smartwatch Model-610,24098,8,45,4.7,"Heart Rate Monitor, Waterproof, GPS",In Stock,1 Year,Blue
HEA-JBL-8,Headphones,JBL,JBL Headphones Model-727,74845,19,50,4.2,"Foldable, Waterproof, Noise Cancellation",In Stock,3 Years,Black
CAM-SON-11,Camera,Sony,Sony Camera Model-788,80285,17,25,3.8,"Image Stabilization, 4K Video, High ISO Sensitivity",Out of Stock,3 Years,Red
SMA-SAM-7,Smartphone,Samsung,Samsung Smartphone Model-756,8491,12,32,3.5,"AMOLED Display, 5G, Fast Charging",In Stock,2 Years,White
TAB-HUA-1,Tablet,Huawei,Huawei Tablet Model-269,10856,14,48,3.0,"Long Battery Life, Detachable Keyboard, Quad Speakers",Out of Stock,3 Years,Red
LAP-DEL-11,Laptop,Dell,Dell Laptop Model-250,113346,18,42,4.2,"SSD Storage, High-Performance GPU, Backlit Keyboard",In Stock,3 Years,White
HEA-SKU-1,Headphones,Skullcandy,Skullcandy Headphones Model-601,20164,16,20,4.3,"Bass Boost, Noise Cancellation, Waterproof",In Stock,1 Year,Blue
SMA-FOS-5,Smartwatch,Fossil,Fossil Smartwatch Model-387,97704,8,26,3.5,"GPS, Waterproof, Heart Rate Monitor",Out of Stock,3 Years,Black
LAP-MIC-4,Laptop,Microsoft,Microsoft Laptop Model-286,96083,13,23,3.9,"High-Performance GPU, Lightweight, Backlit Keyboard",Out of Stock,2 Years,Blue
CAM-CAN-4,Camera,Canon,Canon Camera Model-213,95514,8,31,4.4,"Image Stabilization, High ISO Sensitivity, 4K Video",In Stock,3 Years,Black
LAP-MSI-3,Laptop,MSI,MSI Laptop Model-298,8258,16,45,4.3,"Touchscreen, Backlit Keyboard, High-Performance GPU",Out of Stock,2 Years,Blue
CAM-PAN-3,Camera,Panasonic,Panasonic Camera Model-997,141804,9,31,4.9,"Image Stabilization, WiFi Connectivity, Touchscreen",In Stock,2 Years,Red
TAB-GOO-3,Tablet,Google,Google Tablet Model-192,80427,18,27,3.8,"Stylus Support, Long Battery Life, Detachable Keyboard",Out of Stock,2 Years,White
CAM-PAN-6,Camera,Panasonic,Panasonic Camera Model-153,23739,11,35,4.1,"Touchscreen, High ISO Sensitivity, WiFi Connectivity",Out of Stock,3 Years,Silver
TAB-AMA-5,Tablet,Amazon,Amazon Tablet Model-804,24618,8,32,4.0,"Quad Speakers, Stylus Support, Long Battery Life",In Stock,3 Years,Blue
CAM-CAN-8,Camera,Canon,Canon Camera Model-131,45584,9,21,4.6,"WiFi Connectivity, 4K Video, High ISO Sensitivity",In Stock,1 Year,White
SMA-OPP-9,Smartphone,Oppo,Oppo Smartphone Model-170,89182,10,31,3.7,"Water Resistant, AMOLED Display, Fast Charging",In Stock,2 Years,Red
SMA-ONE-8,Smartphone,OnePlus,OnePlus Smartphone Model-393,59098,8,43,3.6,"5G, Water Resistant, AMOLED Display",Out of Stock,1 Year,Silver
CAM-GOP-4,Camera,GoPro,GoPro Camera Model-848,85153,15,29,4.4,"Touchscreen, WiFi Connectivity, 4K Video",In Stock,1 Year,Blue
CAM-SON-6,Camera,Sony,Sony Camera Model-622,67332,14,31,4.3,"High ISO Sensitivity, WiFi Connectivity, Image Stabilization",In Stock,3 Years,Silver
LAP-DEL-3,Laptop,Dell,Dell Laptop Model-594,9799,20,33,4.8,"Touchscreen, High-Performance GPU, Lightweight",In Stock,2 Years,Silver
TAB-AMA-7,Tablet,Amazon,Amazon Tablet Model-601,41652,17,22,4.5,"Long Battery Life, 10-inch Display, Stylus Support",In Stock,3 Years,White
HEA-ANK-1,Headphones,Anker,Anker Headphones Model-120,97353,13,44,4.3,"Noise Cancellation, Waterproof, Foldable",Out of Stock,2 Years,Blue
SMA-HUA-2,Smartwatch,Huawei,Huawei Smartwatch Model-828,10100,13,27,3.5,"Fitness Tracking, Waterproof, Customizable Watch Faces",In Stock,3 Years,Black
CAM-CAN-3,Camera,Canon,Canon Camera Model-448,19413,15,36,4.7,"High ISO Sensitivity, Touchscreen, 4K Video",Out of Stock,3 Years,Black
SMA-REA-3,Smartphone,Realme,Realme Smartphone Model-663,120177,10,35,4.3,"AMOLED Display, 5G, Fast Charging",In Stock,2 Years,Red
SMA-APP-7,Smartphone,Apple,Apple Smartphone Model-724,9011,8,29,4.8,"AMOLED Display, Water Resistant, Dual SIM",In Stock,2 Years,Black
CAM-PAN-8,Camera,Panasonic,Panasonic Camera Model-581,119493,16,41,4.2,"Touchscreen, WiFi Connectivity, 4K Video",Out of Stock,1 Year,Red
SMA-APP-8,Smartphone,Apple,Apple Smartphone Model-308,108295,6,21,3.4,"Water Resistant, Fast Charging, 5G",Out of Stock,3 Years,Black
HEA-JBL-6,Headphones,JBL,JBL Headphones Model-991,54509,8,25,4.3,"Bass Boost, Noise Cancellation, Foldable",In Stock,2 Years,Black
HEA-BOS-13,Headphones,Bose,Bose Headphones Model-559,32328,14,29,4.6,"Bass Boost, Wireless, Foldable",Out of Stock,3 Years,Red
SMA-HUA-9,Smartwatch,Huawei,Huawei Smartwatch Model-409,62472,19,23,5.0,"GPS, Customizable Watch Faces, Fitness Tracking",Out of Stock,2 Years,Black
SMA-FOS-2,Smartwatch,Fossil,Fossil Smartwatch Model-358,28772,17,22,4.8,"Heart Rate Monitor, GPS, Customizable Watch Faces",Out of Stock,2 Years,Black
SMA-GAR-1,Smartwatch,Garmin,Garmin Smartwatch Model-125,40541,10,31,3.8,"Waterproof, Fitness Tracking, GPS",Out of Stock,3 Years,Silver
LAP-ACE-10,Laptop,Acer,Acer Laptop Model-586,145223,15,36,4.2,"SSD Storage, Lightweight, Touchscreen",In Stock,3 Years,Red
LAP-ACE-4,Laptop,Acer,Acer Laptop Model-891,91650,13,27,3.9,"Backlit Keyboard, Touchscreen, High-Performance GPU",Out of Stock,1 Year,Silver
SMA-REA-4,Smartphone,Realme,Realme Smartphone Model-494,105249,11,24,3.9,"Fast Charging, Water Resistant, AMOLED Display",Out of Stock,3 Years,Red
TAB-SAM-3,Tablet,Samsung,Samsung Tablet Model-549,138572,20,45,5.0,"10-inch Display, Stylus Support, Long Battery Life",In Stock,3 Years,Black
SMA-SAM-9,Smartwatch,Samsung,Samsung Smartwatch Model-207,134168,12,36,4.5,"Heart Rate Monitor, Fitness Tracking, Customizable Watch Faces",In Stock,2 Years,Silver
LAP-DEL-4,Laptop,Dell,Dell Laptop Model-866,115866,11,33,4.1,"Backlit Keyboard, Touchscreen, Lightweight",Out of Stock,2 Years,Red
HEA-SKU-5,Headphones,Skullcandy,Skullcandy Headphones Model-471,76795,10,42,4.1,"Foldable, Wireless, Waterproof",Out of Stock,1 Year,Black
CAM-OLY-10,Camera,Olympus,Olympus Camera Model-828,6812,6,27,4.7,"WiFi Connectivity, Image Stabilization, High ISO Sensitivity",Out of Stock,3 Years,White
SMA-REA-1,Smartphone,Realme,Realme Smartphone Model-425,90997,20,20,4.8,"5G, AMOLED Display, Water Resistant",Out of Stock,1 Year,Red
LAP-DEL-2,Laptop,Dell,Dell Laptop Model-634,54053,7,30,3.7,"SSD Storage, Touchscreen, High-Performance GPU",In Stock,1 Year,Blue
CAM-GOP-3,Camera,GoPro,GoPro Camera Model-447,75709,10,38,3.9,"Touchscreen, 4K Video, High ISO Sensitivity",In Stock,1 Year,Blue
LAP-APP-11,Laptop,Apple,Apple Laptop Model-949,107773,6,45,4.7,"High-Performance GPU, Lightweight, Touchscreen",Out of Stock,3 Years,Silver
HEA-SEN-8,Headphones,Sennheiser,Sennheiser Headphones Model-469,55827,19,25,4.4,"Foldable, Waterproof, Bass Boost",In Stock,1 Year,White
CAM-SON-13,Camera,Sony,Sony Camera Model-770,21914,11,34,4.8,"High ISO Sensitivity, Image Stabilization, Touchscreen",Out of Stock,1 Year,White
SMA-XIA-7,Smartwatch,Xiaomi,Xiaomi Smartwatch Model-439,130134,11,27,3.8,"Fitness Tracking, Waterproof, Customizable Watch Faces",In Stock,1 Year,Black
LAP-HP-8,Laptop,HP,HP Laptop Model-510,120783,15,28,4.8,"SSD Storage, Backlit Keyboard, Touchscreen",In Stock,1 Year,Silver
HEA-SKU-8,Headphones,Skullcandy,Skullcandy Headphones Model-947,92680,10,49,4.2,"Foldable, Bass Boost, Noise Cancellation",Out of Stock,2 Years,Blue
LAP-ASU-3,Laptop,Asus,Asus Laptop Model-533,43112,8,32,4.5,"Touchscreen, Backlit Keyboard, SSD Storage",Out of Stock,3 Years,Black
CAM-FUJ-8,Camera,Fujifilm,Fujifilm Camera Model-372,139999,10,38,4.2,"Touchscreen, High ISO Sensitivity, Image Stabilization",Out of Stock,1 Year,Black
HEA-BOA-13,Headphones,Boat,Boat Headphones Model-370,73802,18,45,3.6,"Foldable, Wireless, Waterproof",In Stock,3 Years,Black
SMA-APP-11,Smartphone,Apple,Apple Smartphone Model-171,81729,9,24,4.3,"5G, Water Resistant, Dual SIM",Out of Stock,1 Year,Black
LAP-MSI-2,Laptop,MSI,MSI Laptop Model-954,26933,10,44,4.7,"Touchscreen, Lightweight, High-Performance GPU",In Stock,1 Year,White
TAB-APP-3,Tablet,Apple,Apple Tablet Model-369,33807,6,40,3.6,"Long Battery Life, Quad Speakers, Stylus Support",In Stock,2 Years,Red
SMA-ONE-11,Smartphone,OnePlus,OnePlus Smartphone Model-161,8684,7,25,4.8,"5G, AMOLED Display, Fast Charging",Out of Stock,3 Years,Black
CAM-PAN-11,Camera,Panasonic,Panasonic Camera Model-607,143775,9,22,3.3,"Touchscreen, WiFi Connectivity, Image Stabilization",In Stock,1 Year,Blue
HEA-BOA-12,Headphones,Boat,Boat Headphones Model-570,32044,16,45,3.7,"Wireless, Waterproof, Noise Cancellation",In Stock,2 Years,Blue
CAM-CAN-9,Camera,Canon,Canon Camera Model-134,31803,6,38,3.7,"4K Video, High ISO Sensitivity, Image Stabilization",In Stock,2 Years,White
SMA-ONE-1,Smartphone,OnePlus,OnePlus Smartphone Model-549,59723,17,49,4.4,"AMOLED Display, Fast Charging, Dual SIM",In Stock,2 Years,White
CAM-PAN-7,Camera,Panasonic,Panasonic Camera Model-103,104272,14,28,4.2,"Touchscreen, Image Stabilization, WiFi Connectivity",In Stock,1 Year,Blue
SMA-ONE-9,Smartphone,OnePlus,OnePlus Smartphone Model-465,8900,18,49,3.7,"Fast Charging, 5G, AMOLED Display",Out of Stock,2 Years,Silver
HEA-SKU-13,Headphones,Skullcandy,Skullcandy Headphones Model-203,81772,20,33,4.4,"Waterproof, Foldable, Noise Cancellation",In Stock,2 Years,Black
LAP-MIC-2,Laptop,Microsoft,Microsoft Laptop Model-264,123550,12,26,4.1,"Touchscreen, High-Performance GPU, Backlit Keyboard",In Stock,3 Years,Red
LAP-ACE-13,Laptop,Acer,Acer Laptop Model-259,36699,5,43,4.1,"High-Performance GPU, Backlit Keyboard, Lightweight",In Stock,3 Years,Blue
SMA-OPP-11,Smartphone,Oppo,Oppo Smartphone Model-504,11349,6,25,4.3,"Dual SIM, AMOLED Display, 5G",Out of Stock,3 Years,Black
HEA-SKU-6,Headphones,Skullcandy,Skullcandy Headphones Model-331,8250,13,27,4.1,"Noise Cancellation, Wireless, Foldable",Out of Stock,1 Year,Red
SMA-APP-15,Smartphone,Apple,Apple Smartphone Model-359,89257,12,35,3.9,"Water Resistant, Fast Charging, AMOLED Display",Out of Stock,2 Years,Red
SMA-HUA-7,Smartwatch,Huawei,Huawei Smartwatch Model-277,5205,20,47,4.4,"Customizable Watch Faces, Heart Rate Monitor, Fitness Tracking",In Stock,3 Years,Black
HEA-SON-13,Headphones,Sony,Sony Headphones Model-236,82942,9,35,3.6,"Waterproof, Foldable, Bass Boost",Out of Stock,2 Years,Black
TAB-AMA-11,Tablet,Amazon,Amazon Tablet Model-930,139466,18,38,4.0,"Stylus Support, 10-inch Display, Detachable Keyboard",In Stock,1 Year,Blue
TAB-HUA-11,Tablet,Huawei,Huawei Tablet Model-122,116214,7,39,4.1,"10-inch Display, Stylus Support, Quad Speakers",In Stock,2 Years,Red
CAM-LEI-1,Camera,Leica,Leica Camera Model-123,71450,11,45,4.2,"Touchscreen, WiFi Connectivity, 4K Video",Out of Stock,2 Years,Red
HEA-ANK-13,Headphones,Anker,Anker Headphones Model-100,69557,9,20,3.1,"Bass Boost, Foldable, Wireless",Out of Stock,3 Years,Black
SMA-APP-12,Smartphone,Apple,Apple Smartphone Model-480,102521,20,39,3.2,"Dual SIM, Fast Charging, AMOLED Display",In Stock,3 Years,White
HEA-SEN-9,Headphones,Sennheiser,Sennheiser Headphones Model-969,121032,8,46,3.0,"Foldable, Wireless, Waterproof",In Stock,2 Years,White
SMA-SAM-2,Smartphone,Samsung,Samsung Smartphone Model-233,121569,20,21,3.9,"Water Resistant, Dual SIM, 5G",In Stock,2 Years,Red
TAB-HUA-9,Tablet,Huawei,Huawei Tablet Model-749,135961,8,34,4.7,"10-inch Display, Detachable Keyboard, Long Battery Life",In Stock,3 Years,White
LAP-ASU-13,Laptop,Asus,Asus Laptop Model-590,109896,9,29,4.2,"SSD Storage, High-Performance GPU, Backlit Keyboard",Out of Stock,2 Years,Blue
TAB-APP-10,Tablet,Apple,Apple Tablet Model-835,86739,11,49,4.6,"Quad Speakers, Detachable Keyboard, 10-inch Display",Out of Stock,1 Year,Silver
SMA-FIT-14,Smartwatch,Fitbit,Fitbit Smartwatch Model-139,116048,11,41,3.3,"Fitness Tracking, Customizable Watch Faces, GPS",In Stock,3 Years,Black
HEA-BEA-4,Headphones,Beats,Beats Headphones Model-114,80695,20,41,3.7,"Wireless, Foldable, Noise Cancellation",In Stock,2 Years,Red
SMA-SAM-2,Smartwatch,Samsung,Samsung Smartwatch Model-246,102314,18,47,4.6,"Heart Rate Monitor, Waterproof, GPS",In Stock,2 Years,White
TAB-HUA-10,Tablet,Huawei,Huawei Tablet Model-442,52796,16,36,4.2,"Stylus Support, 10-inch Display, Detachable Keyboard",Out of Stock,3 Years,Silver
LAP-MSI-8,Laptop,MSI,MSI Laptop Model-946,131796,12,32,3.2,"High-Performance GPU, Lightweight, Backlit Keyboard",Out of Stock,2 Years,Red
LAP-MSI-5,Laptop,MSI,MSI Laptop Model-757,37759,16,47,3.7,"Backlit Keyboard, Touchscreen, Lightweight",In Stock,2 Years,Silver
LAP-ASU-9,Laptop,Asus,Asus Laptop Model-899,16821,17,36,3.5,"SSD Storage, High-Performance GPU, Touchscreen",Out of Stock,2 Years,Blue
HEA-BOS-1,Headphones,Bose,Bose Headphones Model-975,48150,19,45,3.1,"Waterproof, Foldable, Noise Cancellation",In Stock,3 Years,Blue
CAM-NIK-4,Camera,Nikon,Nikon Camera Model-482,58914,19,43,3.7,"Image Stabilization, High ISO Sensitivity, Touchscreen",In Stock,1 Year,White
SMA-XIA-14,Smartphone,Xiaomi,Xiaomi Smartphone Model-721,129921,15,24,4.8,"5G, AMOLED Display, Water Resistant",Out of Stock,3 Years,Blue
TAB-LEN-3,Tablet,Lenovo,Lenovo Tablet Model-776,109168,13,24,3.4,"10-inch Display, Stylus Support, Detachable Keyboard",In Stock,2 Years,Red
LAP-APP-7,Laptop,Apple,Apple Laptop Model-736,68683,5,21,4.3,"SSD Storage, High-Performance GPU, Touchscreen",Out of Stock,3 Years,Silver
CAM-FUJ-3,Camera,Fujifilm,Fujifilm Camera Model-110,56837,10,26,3.2,"4K Video, Image Stabilization, WiFi Connectivity",In Stock,1 Year,Black
SMA-ONE-6,Smartphone,OnePlus,OnePlus Smartphone Model-409,116972,10,29,4.1,"5G, Dual SIM, Water Resistant",Out of Stock,3 Years,Black
HEA-SKU-3,Headphones,Skullcandy,Skullcandy Headphones Model-444,45802,20,48,4.3,"Waterproof, Foldable, Noise Cancellation",Out of Stock,1 Year,Black
SMA-REA-7,Smartphone,Realme,Realme Smartphone Model-202,45481,20,38,3.8,"Water Resistant, Fast Charging, Dual SIM",In Stock,1 Year,White
SMA-APP-4,Smartwatch,Apple,Apple Smartwatch Model-703,93223,14,46,4.6,"Customizable Watch Faces, Heart Rate Monitor, GPS",Out of Stock,2 Years,Blue
CAM-OLY-9,Camera,Olympus,Olympus Camera Model-365,47413,19,38,3.1,"Touchscreen, 4K Video, Image Stabilization",In Stock,3 Years,Silver
CAM-NIK-7,Camera,Nikon,Nikon Camera Model-344,59248,18,41,4.4,"Image Stabilization, Touchscreen, High ISO Sensitivity",Out of Stock,1 Year,Blue
CAM-SON-2,Camera,Sony,Sony Camera Model-321,96024,19,33,4.3,"Image Stabilization, High ISO Sensitivity, WiFi Connectivity",Out of Stock,1 Year,Black
SMA-APP-6,Smartwatch,Apple,Apple Smartwatch Model-212,125557,15,30,3.6,"Fitness Tracking, GPS, Customizable Watch Faces",In Stock,2 Years,Red
SMA-SAM-13,Smartwatch,Samsung,Samsung Smartwatch Model-964,62107,16,23,3.8,"GPS, Heart Rate Monitor, Customizable Watch Faces",In Stock,3 Years,White
SMA-APP-2,Smartwatch,Apple,Apple Smartwatch Model-225,23804,17,30,4.2,"GPS, Heart Rate Monitor, Fitness Tracking",In Stock,3 Years,Blue
LAP-LEN-10,Laptop,Lenovo,Lenovo Laptop Model-454,30583,5,46,3.2,"SSD Storage, Touchscreen, Lightweight",Out of Stock,3 Years,White
LAP-ACE-3,Laptop,Acer,Acer Laptop Model-704,62887,16,34,3.5,"SSD Storage, Touchscreen, High-Performance GPU",Out of Stock,3 Years,Red
TAB-APP-8,Tablet,Apple,Apple Tablet Model-701,30155,18,30,4.6,"Long Battery Life, 10-inch Display, Stylus Support",In Stock,2 Years,Black
TAB-APP-12,Tablet,Apple,Apple Tablet Model-777,85544,6,37,4.8,"Stylus Support, 10-inch Display, Long Battery Life",Out of Stock,2 Years,Black
SMA-AMA-8,Smartwatch,Amazfit,Amazfit Smartwatch Model-376,67325,17,22,3.3,"GPS, Customizable Watch Faces, Fitness Tracking",In Stock,1 Year,White
HEA-BOS-9,Headphones,Bose,Bose Headphones Model-934,57344,15,30,4.6,"Bass Boost, Waterproof, Foldable",In Stock,3 Years,Black
LAP-MIC-11,Laptop,Microsoft,Microsoft Laptop Model-497,141568,14,20,3.2,"SSD Storage, Lightweight, Backlit Keyboard",Out of Stock,1 Year,Red
SMA-AMA-10,Smartwatch,Amazfit,Amazfit Smartwatch Model-970,14515,7,36,4.6,"Fitness Tracking, Customizable Watch Faces, Heart Rate Monitor",Out of Stock,3 Years,Blue
SMA-XIA-10,Smartphone,Xiaomi,Xiaomi Smartphone Model-942,77320,14,32,4.0,"AMOLED Display, Dual SIM, Water Resistant",Out of Stock,2 Years,Blue
CAM-NIK-14,Camera,Nikon,Nikon Camera Model-901,26269,16,28,4.4,"Image Stabilization, Touchscreen, 4K Video",In Stock,2 Years,Blue
SMA-OPP-1,Smartphone,Oppo,Oppo Smartphone Model-928,72771,15,42,3.2,"Dual SIM, Fast Charging, AMOLED Display",Out of Stock,3 Years,Blue
LAP-ACE-12,Laptop,Acer,Acer Laptop Model-540,12961,14,26,3.9,"SSD Storage, High-Performance GPU, Lightweight",In Stock,3 Years,Silver
CAM-OLY-8,Camera,Olympus,Olympus Camera Model-586,5023,18,20,4.8,"High ISO Sensitivity, WiFi Connectivity, 4K Video",Out of Stock,3 Years,Silver
CAM-FUJ-5,Camera,Fujifilm,Fujifilm Camera Model-144,61557,19,41,3.8,"High ISO Sensitivity, Image Stabilization, Touchscreen",Out of Stock,2 Years,Blue
LAP-ACE-14,Laptop,Acer,Acer Laptop Model-589,102204,20,43,4.8,"Touchscreen, SSD Storage, High-Performance GPU",Out of Stock,3 Years,Silver
SMA-AMA-6,Smartwatch,Amazfit,Amazfit Smartwatch Model-914,131698,14,41,4.2,"Fitness Tracking, Heart Rate Monitor, Waterproof",Out of Stock,1 Year,Black
SMA-SAM-3,Smartwatch,Samsung,Samsung Smartwatch Model-723,95031,17,45,3.1,"Heart Rate Monitor, Fitness Tracking, GPS",Out of Stock,1 Year,White
HEA-BOA-2,Headphones,Boat,Boat Headphones Model-757,129843,16,46,4.5,"Noise Cancellation, Waterproof, Foldable",In Stock,3 Years,Red
LAP-DEL-6,Laptop,Dell,Dell Laptop Model-312,25074,9,25,4.8,"Lightweight, Touchscreen, High-Performance GPU",Out of Stock,2 Years,Blue
TAB-HUA-14,Tablet,Huawei,Huawei Tablet Model-764,54776,20,36,4.7,"10-inch Display, Detachable Keyboard, Stylus Support",In Stock,2 Years,Black
TAB-GOO-5,Tablet,Google,Google Tablet Model-879,69554,10,36,4.4,"10-inch Display, Stylus Support, Detachable Keyboard",In Stock,2 Years,Blue
SMA-GOO-3,Smartphone,Google,Google Smartphone Model-441,74587,15,39,4.6,"Fast Charging, Water Resistant, Dual SIM",In Stock,1 Year,Black
LAP-ACE-2,Laptop,Acer,Acer Laptop Model-192,17034,11,49,4.3,"Lightweight, High-Performance GPU, Touchscreen",Out of Stock,1 Year,Black
LAP-LEN-13,Laptop,Lenovo,Lenovo Laptop Model-886,61383,12,35,4.7,"Lightweight, High-Performance GPU, Touchscreen",Out of Stock,2 Years,Black
